ID	GSM4285758	GSM4285759	GSM4285760	GSM4285761	GSM4285762	GSM4285763	GSM4285764	GSM4285770	GSM4285771	GSM4285772
Group	group1	group1	group1	group1	group1	group1	group1	group2	group2	group2
0610005C13Rik	0.626444546	1.451541323	0	0.432976388	0.327233472	0	0	0	0	0
0610007P14Rik	12.42246496	14.55469492	14.9259117	8.440200134	12.46177116	13.53301625	9.566787233	21.86674662	17.19127214	27.46170734
0610009B22Rik	33.06310717	29.40184679	32.50339237	50.14189624	51.57312435	31.7714277	20.70347721	33.18211055	55.01434465	17.68994492
0610009E02Rik	0	0	1.609775505	2.396453283	1.114097077	0	0	0.907760087	0	0
0610009L18Rik	8.972534232	0.809856006	7.525532084	4.337161921	0	9.164682133	9.215094219	8.652294423	30.64033231	26.63737635
0610009O20Rik	11.14031743	4.63188184	2.9014988	9.343554673	9.188807376	12.34482076	11.06134832	17.62476991	11.95069874	10.64637183
0610010F05Rik	5.540334795	5.8632492	7.421680272	11.886198	6.801456344	4.857353557	8.59989631	3.120700268	3.035262537	7.624692806
0610010K14Rik	51.3003401	38.93401792	57.65532487	44.41746686	39.87871691	31.09924155	41.30885495	60.1762762	48.79935103	74.56996367
0610011F06Rik	31.12582074	30.95336007	27.40576356	16.56203258	30.71812667	21.23272812	26.30232917	25.13507932	14.42621625	35.3020989
0610012D04Rik	0	0	0	0	0	0	0	0	0	0
0610012G03Rik	413.6646186	333.6902086	411.5409105	474.0473171	224.0634768	397.0235706	406.2898675	552.4315483	293.9182326	272.9144263
0610025J13Rik	0	0	0	0	0	0	0	0	0	0
0610030E20Rik	23.99341036	24.18627979	26.09329901	19.73828133	28.48748449	23.1247115	23.95479041	43.07157073	29.77461946	19.11532421
0610037L13Rik	5.731920359	9.162854478	9.697243276	6.620143207	7.243915242	6.398093237	6.563370644	8.081863157	9.172765246	9.317502487
0610039K10Rik	2.156508842	0	0	1.1115731	0	0	0	4.010115488	5.462815373	2.997470119
0610040B10Rik	0	0	0	0	0	0	11.54865616	5.309114583	5.325575925	7.056406054
0610040F04Rik	0	0	0	0	0	0	0	0	0	0
0610040J01Rik	14.25418772	9.098798837	6.844569837	8.495346801	9.965261322	11.29805259	27.50596576	20.26870242	34.23560102	7.336018797
0610043K17Rik	2.399580434	0	0	0	0	0	0	1.437669787	0	0
1010001B22Rik	0	0	3.025777648	0	0	0	0	0	0	0
1010001N08Rik	0	0	0	0	0	0	0	0	0	0
1110001J03Rik	67.90517418	86.943319	75.23172834	53.70465583	38.4172279	58.06738782	73.7023665	94.35034716	72.32065083	98.54059713
1110002E22Rik	0	0	0	0	0	0	0	0	0	0
1110002J07Rik	1.108640321	0	0	0	1.590430101	0.668629046	0	0.852280528	0	0
1110002L01Rik	0.764187108	0	0.570917358	0	0	0	0.447269688	0.432357661	0	1.39723616
1110004E09Rik	4.495100424	14.55351318	12.06479532	8.266063753	6.428708286	18.44504732	5.953064499	6.950565349	8.577558435	4.639580238
1110004F10Rik	98.95123065	133.5810014	97.84291353	105.150185	70.25896582	102.5146863	133.0283234	204.4383131	172.2956623	179.5039256
1110007C09Rik	421.7337044	426.4716417	412.8469211	401.848865	404.4455011	318.5894253	306.0403343	284.350497	183.8775629	276.7775773
1110008E08Rik	0	0	0	0	0	0	0	0	0	0
1110008F13Rik	134.3479407	142.7056672	135.2067579	130.5290891	132.39726	169.8386608	136.3281682	128.9852116	118.4840272	124.3953008
1110008L16Rik	0.249405264	1.846641742	1.580851311	0.343025589	0.561041308	4.384686856	1.681246665	3.676042612	3.104833075	4.057751167
1110008P14Rik	49.49140642	34.74715854	39.50142804	22.62703883	49.55827378	35.69110423	34.03420051	24.40467646	9.70012137	10.37221549
1110012L19Rik	11.1043939	25.99877092	22.25638549	17.27324084	9.961257708	18.69953584	38.44725284	24.55387553	25.6011416	37.50626928
1110017D15Rik	0	0	0	0	0	0	0	0	0	0
1110018N20Rik	0	0	0	0	0	0	0	0	0	0
1110019D14Rik	3.483036015	5.973176671	4.610845392	0	0	0	1.714637234	0.521523232	0	5.95895171
1110020A21Rik	3.384606339	0	0	5.083184522	0	0	3.691164511	1.604382023	0	0
1110025L11Rik	0	0	0	0	0	0	0	0	0	0
1110028F11Rik	0	0	0	0	0	0	0	0	0	0
1110032A03Rik	4.590988312	5.048914144	7.396095319	3.564498888	1.706749023	1.328123388	2.833823583	2.441933769	7.656653612	2.778688648
1110032F04Rik	0	0	0	0	0	0	1.181574141	0	0	0
1110034G24Rik	4.241865981	6.031427315	10.40748716	2.988339203	7.551878334	13.71590169	6.46533199	7.100130939	14.81717741	16.63240197
1110035H17Rik	5.134145203	1.524584692	1.748329319	0	2.388204871	0	5.375459086	8.131054304	11.27771045	1.258473625
1110036E04Rik	0	0	0	0	0	0	0	0	0	0
1110037F02Rik	8.578761019	9.75527839	10.33417962	15.61757281	12.45989881	14.33823887	10.83600471	15.03584941	13.30082254	10.76434949
1110038B12Rik	37.0139824	32.08403703	40.11069821	28.47553334	25.64683048	61.18394097	35.25175423	40.05399952	45.98800103	19.56050237
1110038F14Rik	67.9546327	77.15843293	101.931977	104.9434985	73.88425833	62.37005087	63.41517295	100.2288633	93.71187681	65.48641037
1110046J04Rik	0	0	0	0	0	0	0	0	0	0
1110051M20Rik	0.456323686	2.691931576	2.66329218	1.321530072	0.699157959	2.036303457	1.351438075	0.889414848	1.527819499	1.799582277
